Feature,Mean_Absolute_SHAP_Value
RH2M,0.00023067968698463527
T2M,0.00020702364335956866
rainfall_14d_sum,0.00016615245341826485
humidity_14d_avg,0.00014619186410631948
temp_lag_14,0.0001211435649226094
temp_14d_avg,0.00011577705936103253
rainfall_lag_14,0.00011557886129294474
Risk_Score,0.00010447421064627031
IMERG_PRECTOT,9.391283560710077e-05
humidity_lag_14,8.719429340422062e-05
